"longitude","latitude","Al","Ca","Fe","K","Mg","Na","Ti","Be","Ce","Co","Cr","Cu","Ga","La","Li","Mo","Nb","Ni","Rb","Sc","Sn","Th","Tl","U","V","W","Y"
-105.85501,40.67118,0.697,0.105,0.226,0.249,0.052,0.214,0.02,1.7,48.4,7.4,34,7.7,15.2,24.2,21,0.78,8.9,13.6,117,7.1,1.9,9.6,0.7,3.2,46,0.5,8.6
-105.69883,40.64944,0.531,0.048,0.118,0.29,0.025,0.186,0.007,1.3,24.7,3.7,17,7,11.9,12.6,10,0.49,5.9,7.9,104,4,1.6,6.9,0.5,2.7,25,0.6,8.5
-105.37204,40.65161,0.663,0.075,0.358,0.278,0.072,0.133,0.028,1.7,94.3,11.1,70,16.2,16.6,43.2,36,0.58,10.5,26.5,126,13.6,2.3,15.3,0.7,3.4,77,2.4,14.2
-105.22602,40.66826,0.639,0.104,0.411,0.222,0.089,0.134,0.033,1.2,84.3,11.6,90,18.9,14.3,41,23,0.55,11.6,35.4,111,15.8,2.7,13.4,0.6,2.9,77,0.7,19.2
-104.73486,40.65648,0.44,0.049,0.12,0.236,0.026,0.094,0.011,1.2,43.9,3.6,19,6.2,10.1,23.5,11,0.59,5.3,7.3,83,3.5,0.8,6.4,0.5,1.5,33,0.6,10.3
-104.48675,40.65392,0.467,0.06,0.133,0.195,0.022,0.108,0.018,1.4,64.5,3.9,24,9.7,10.4,35.5,10,0.58,8.1,8.8,91.1,3.9,0.9,11,0.6,2.1,41,0.6,13
-104.41109,40.65258,0.474,0.059,0.149,0.228,0.029,0.087,0.017,1.4,49.6,4.4,20,8.3,9.98,27.1,13,0.85,7.8,8.3,89.3,4.2,1.1,7.6,0.4,1.8,44,0.8,13.4
-103.89687,40.6396,0.482,0.084,0.14,0.254,0.043,0.129,0.017,1.6,57.9,5.2,21,10.9,11.7,30.8,16,0.87,9.1,8.1,91.3,4.9,1.8,8.6,0.6,2.1,40,0.8,16
-102.47438,40.62885,0.611,0.086,0.161,0.24,0.045,0.105,0.017,1.7,76.8,5.8,23,11.3,12.3,41.1,19,0.68,8.5,10.8,105,5.5,1.3,16.2,0.7,2.5,43,0.6,16.1
-102.39803,40.62942,0.542,0.079,0.183,0.219,0.049,0.091,0.021,1.7,69.5,6.8,33,13.4,13.6,35.5,20,1.01,10.2,14,106,7.2,1.5,11.8,0.6,2.8,50,0.9,18.7
-108.74042,40.59285,0.278,0.066,0.131,0.114,0.029,0.032,0.01,0.9,38.2,5.3,26,14.9,6.79,20,17,0.6,4.1,10.6,50.4,4.3,0.9,6.6,0.2,1.7,30,0.4,9.6
-108.2099,40.55407,0.358,0.118,0.095,0.182,0.035,0.084,0.009,0.9,38.7,3.2,15,8,8.68,22,16,0.61,5.1,6.2,72.1,3.6,0.7,6,0.4,1.5,28,0.6,9.9
-106.98667,40.61183,0.504,0.049,0.227,0.196,0.048,0.072,0.02,1.8,59.5,10.2,44,18.9,12.2,30.5,24,1.46,8.8,18.3,101,8.1,1.5,10.7,0.6,2.8,71,1,16.1
-106.4107,40.61837,0.574,0.135,0.274,0.28,0.057,0.166,0.034,1.7,86.8,10.4,40,19.6,14.6,43.3,19,1.16,15.3,17.3,95.1,8.1,1.1,16,0.6,3.7,71,1,18.6
-105.65532,40.65144,0.608,0.218,0.241,0.191,0.083,0.185,0.024,2,64.2,8.5,33,14.1,13.1,32.2,19,0.49,6.8,16.2,64.7,8.2,1.3,4.9,0.4,1.5,66,0.4,10.7
-105.41375,40.58263,0.562,0.086,0.331,0.205,0.062,0.116,0.025,2.1,63.6,11.6,76,18.6,14.2,31.9,31,0.68,10.9,28.9,120,11.9,2,10.6,0.6,3.4,67,1.4,12.5
-104.99143,40.60998,0.532,0.208,0.164,0.252,0.067,0.118,0.015,1.7,47.9,4.8,27,10.3,11.8,25.9,22,1.03,7,11.6,87.7,5.3,1.2,8.9,0.5,2.3,51,0.9,14.5
-104.29832,40.61039,0.521,0.055,0.203,0.22,0.039,0.073,0.018,1.8,58.4,5.9,25,9.9,12.9,31.7,19,1.11,7.8,13.1,99,6.4,1.2,9.1,0.6,2.3,55,0.8,15.4
-102.77895,40.58675,0.517,0.105,0.185,0.23,0.048,0.095,0.019,1.7,68.4,6.2,27,12.7,12.4,35.6,18,0.85,10.1,12.9,94.5,6.2,1.3,13.2,0.5,2.5,48,0.8,16.8
-108.4261,40.54916,0.402,0.289,0.115,0.208,0.071,0.086,0.015,0.9,60.6,3.4,15,7.2,7.98,33.4,14,0.64,4.4,7.5,72.9,3.4,0.8,13.8,0.5,2,35,0.5,11.1
